item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q1834123,A. J. Mundella,British politician (1825-1897),Q6581097,male,1825-03-28T00:00:00Z,11,1897-07-21T00:00:00Z,11
Q964833,"A. V. Alexander, 1st Earl Alexander of Hillsborough",British Labour Co-operative politician (1885-1965),Q6581097,male,1885-05-01T00:00:00Z,11,1965-01-11T00:00:00Z,11
Q4677688,Acton Smee Ayrton,British barrister and Liberal Party politician,Q6581097,male,1816-08-05T00:00:00Z,11,1886-11-30T00:00:00Z,11
Q350602,Adam Ingram,Labour politician (born 1947),Q6581097,male,1947-02-01T00:00:00Z,11,,
Q4706248,"Alan Brodrick, 1st Viscount Midleton",Irish politician,Q6581097,male,1655-01-01T00:00:00Z,9,1728-01-01T00:00:00Z,9
Q2894842,Alan Clark,British politician (1928-1999),Q6581097,male,1928-04-13T00:00:00Z,11,1999-09-05T00:00:00Z,11
Q332336,Alan Johnson,British politician (born 1950),Q6581097,male,1950-05-17T00:00:00Z,11,,
Q4707145,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",British politician (1904-1983),Q6581097,male,1904-11-18T00:00:00Z,11,1983-03-08T00:00:00Z,11
Q333459,Alan Milburn,British politician (born 1958),Q6581097,male,1958-01-27T00:00:00Z,11,,
Q334258,Alastair Goodlad,British Conservative politician (born 1943),Q6581097,male,1943-07-04T00:00:00Z,11,,
Q262749,Albert Booth,British politician (1928-2010),Q6581097,male,1928-05-28T00:00:00Z,11,2010-02-06T00:00:00Z,11
Q128976,Alec Douglas-Home,former Prime Minister of the United Kingdom (1903-1995),Q6581097,male,1903-07-02T00:00:00Z,11,1995-10-09T00:00:00Z,11
Q4718450,"Alexander Bruce, 6th Lord Balfour of Burleigh",British politician,Q6581097,male,1849-01-13T00:00:00Z,11,1921-07-06T00:00:00Z,11
