wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q4706248,"Alan Brodrick, 1st Viscount Midleton","Alan Brodrick, 1st Viscount Midleton",male,1655-01-01T00:00:00Z,9,,Q1846056,Lord Chancellor of Ireland,Q4706248-28643D82-D5D1-4EF3-B204-ECE3A3A3484C
Q30165682,Alister Jack,Alister Jack,male,1963-07-07T00:00:00Z,11,,Q111784,Secretary of State for Scotland,Q30165682-a0602052-4868-7d07-333f-cc031984387c
Q478531,Alok Sharma,Alok Sharma,male,1967-09-07T00:00:00Z,11,,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",Q478531-15e232af-43da-8088-59bf-8f38c760c19b
Q263166,Ben Wallace,Ben Wallace,male,1970-05-15T00:00:00Z,11,,Q2747647,Secretary of State for Defence,Q263166-7993fb77-429a-d8e9-7979-00664614fb0a
Q180589,Boris Johnson,Boris Johnson,male,1964-06-19T00:00:00Z,11,,Q14211,Prime Minister of the United Kingdom,Q180589-40c674a8-4cbe-09e0-72ac-7fb866cdc5a0
Q749687,Brandon Lewis,Brandon Lewis,male,1971-06-20T00:00:00Z,11,,Q1369302,Secretary of State for Northern Ireland,Q749687-80b88a46-4927-2424-3165-7c7aecc9ff9d
Q268584,Dominic Raab,Dominic Raab,male,1974-02-25T00:00:00Z,11,,Q3068024,First Secretary of State,Q268584-cb5721a3-40c4-f756-9e36-6fdd9aed3b05
Q268584,Dominic Raab,Dominic Raab,male,1974-02-25T00:00:00Z,11,,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,Q268584-15a58a2a-44f4-357d-7d55-41643dc355c5
Q272201,Elizabeth Truss,Elizabeth Truss,female,1975-07-26T00:00:00Z,11,,Q25863345,Secretary of State for International Trade,Q272201-1df2b8e6-483b-41ca-9989-74b061819d71
Q262409,Gavin Williamson,Gavin Williamson,male,1976-06-25T00:00:00Z,11,,Q3477306,Secretary of State for Education,Q262409-4d5a4467-495e-522a-a047-d7c88da09369
Q303510,George Eustice,George Eustice,male,1971-09-28T00:00:00Z,11,,Q14984399,"Secretary of State for Environment, Food and Rural Affairs",Q303510-6ce5fda7-4984-4c9f-6fb9-3752cb67e9ec
Q478596,Grant Shapps,Grant Shapps,male,1968-09-14T00:00:00Z,11,,Q3246797,Secretary of State for Transport,Q478596-ec799617-4c4c-b4ad-cf7c-6f0f47767499
Q271800,Greg Clark,Greg Clark,male,1967-08-28T00:00:00Z,11,,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",Q271800-bb952101-47ef-8ffd-7287-aadd18ab31f0
Q574980,Jacob Rees-Mogg,Jacob Rees-Mogg,male,1969-05-24T00:00:00Z,11,,Q943379,Lord President of the Council,Q574980-81af5da1-4718-b5d1-5a92-d6826e4c64da
Q260489,Jeremy Wright,Jeremy Wright,male,1972-10-24T00:00:00Z,11,,Q3297079,"Secretary of State for Culture, Media and Sport",Q260489-6e83a263-4359-cf77-9f19-58784b3d0f8a
Q750204,Kwasi Kwarteng,Kwasi Kwarteng,male,1975-05-26T00:00:00Z,11,,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",Q750204-b9054947-4669-87aa-d445-522f745a795a
Q333937,Michael Gove,Michael Gove,male,1967-08-26T00:00:00Z,11,,Q162754,Chancellor of the Duchy of Lancaster,Q333937-96f93e23-4088-751c-a443-640fabc29489
Q18210190,"Natalie Evans, Baroness Evans","Natalie Evans, Baroness Evans",female,1975-11-29T00:00:00Z,11,,Q2012061,Leader of the House of Lords,Q18210190-5abda2e8-4dbd-cf9e-78c9-afc9b987e513
Q18210190,"Natalie Evans, Baroness Evans","Natalie Evans, Baroness Evans",female,1975-11-29T00:00:00Z,11,,Q910308,Lord Privy Seal,Q18210190-7429da65-452c-3d10-503f-4e8356a403ec
Q19957590,Oliver Dowden,Oliver Dowden,male,1978-08-01T00:00:00Z,11,,Q3297079,"Secretary of State for Culture, Media and Sport",Q19957590-c4c7cadd-4324-9adf-ef20-60a2b192e988
Q575733,Priti Patel,Priti Patel,female,1972-03-29T00:00:00Z,11,,Q2484309,Secretary of State for the Home Department,Q575733-2b95d8db-41b3-b0c0-372e-7a79f9116810
Q20055561,Rishi Sunak,Rishi Sunak,male,1980-05-12T00:00:00Z,11,,Q531471,The Chancellor of the Exchequer,Q20055561-5150b06e-4ae0-c24d-1131-2af471406f79
Q269853,Robert Buckland,Robert Buckland,male,1968-09-22T00:00:00Z,11,,Q217217,Lord High Chancellor of Great Britain,Q269853-246e75be-4eb1-0a0f-712d-648d3ea61b67
Q269853,Robert Buckland,Robert Buckland,male,1968-09-22T00:00:00Z,11,,Q3477307,Secretary of State for Justice,Q269853-db30a91e-41c9-9cb4-0b42-c896e5c650b1
Q17180679,Robert Jenrick,Robert Jenrick,male,1982-01-09T00:00:00Z,11,,Q11781526,"Secretary of State for Housing, Communities and Local Government",Q17180679-653f10cb-40f3-bd34-c38f-875d708cfdcf
Q727798,Sajid Javid,Sajid Javid,male,1969-12-05T00:00:00Z,11,,Q3397406,Secretary of State for Health and Social Care,Q727798-3f0c89f0-4651-294a-a419-7ab87ad4bb19
Q478345,Simon Hart,Simon Hart,male,1963-08-15T00:00:00Z,11,,Q1846384,Secretary of State for Wales,Q478345-4f2e0fb7-4c41-22db-f838-0b81e45357e8
Q290554,Thérèse Coffey,Thérèse Coffey,female,1971-11-18T00:00:00Z,11,,Q7444357,Secretary of State for Work and Pensions,Q290554-528bcb34-44fa-37d9-8262-3d86fbd0061d
