location,locationLabel,position,positionLabel,person,personLabel
Q785,Jersey,Q1281624,Chief Minister,Q16196549,John Le Fondré
Q3311985,Guernsey,Q24936486,P&RC President,Q103964036,Peter Ferbrache
Q9676,Isle of Man,Q1072343,Chief Minister,Q25752002,Alfred Cannan
Q25228,Anguilla,Q493655,Premier,Q98079363,Ellis Webster
Q23635,Bermuda,Q969659,Premier,Q33120852,Edward David Burt
Q25305,British Virgin Islands,Q119804,Premier,Q111795596,Natalio Wheatley
Q5785,Cayman Islands,Q3247884,Premier,Q106622643,Wayne Panton
Q9648,Falkland Islands,Q3064699,Chief Executive,Q3064699,Andy Keeling
Q1410,Gibraltar,Q585760,Chief Minister,Q2356379,Fabian Picardo
Q13353,Montserrat,Q3245464,Premier,Q71333507,Easton Taylor-Farrell
Q35672,Pitcairn Islands,Q3029683,Mayor,Q75462006,Charlene Warren-Peu
Q18221,Turks and Caicos Islands,Q3401756,Premier,Q7972058,Washington Misick
Q34497,Saint Helena,Q108540292,Chief Minister,Q109313516,Julie Thomas
