name,position
Boris Johnson,Prime Minister
Boris Johnson,First Lord of the Treasury
Boris Johnson,Minister for the Union
Boris Johnson,Minister for the Civil Service
Rishi Sunak,Chancellor of the Exchequer
Dominic Raab,"Secretary of State for Foreign, Commonwealth and Development Affairs"
Dominic Raab,First Secretary of State
Priti Patel,Secretary of State for the Home Department
Michael Gove,Minister for the Cabinet Office
Michael Gove,Chancellor of the Duchy of Lancaster
Robert Buckland,Lord Chancellor and Secretary of State for Justice
Ben Wallace,Secretary of State for Defence
Sajid Javid,Secretary of State for Health and Social Care
Alok Sharma,COP26 President
Kwasi Kwarteng,"Secretary of State for Business, Energy and Industrial Strategy"
Elizabeth Truss,Secretary of State for International Trade and President of the Board of Trade
Elizabeth Truss,Minister for Women and Equalities
Thérèse Coffey,Secretary of State for Work and Pensions
Gavin Williamson,Secretary of State for Education
George Eustice,"Secretary of State for Environment, Food and Rural Affairs"
Robert Jenrick,"Secretary of State for Housing, Communities and Local Government"
Grant Shapps,Secretary of State for Transport
Brandon Lewis,Secretary of State for Northern Ireland
Alister Jack,Secretary of State for Scotland
Simon Hart,Secretary of State for Wales
Baroness Evans of Bowes Park,Leader of the House of Lords
Baroness Evans of Bowes Park,Lord Privy Seal
Oliver Dowden,"Secretary of State for Digital, Culture, Media and Sport"
Lord Frost,Minister of State
Amanda Milling,Minister without Portfolio
